Feature,Importance
cat__cp_asymptomatic,0.11257099612212292
num__thalch,0.0817600635355247
num__oldpeak,0.0817201572603138
num__age,0.07245981086592618
cat__exang_False,0.06551535671104229
cat__cp_atypical angina,0.0641736271510773
cat__exang_True,0.06014556931695033
num__chol,0.05447383780155877
cat__dataset_Switzerland,0.03680562789506487
cat__slope_flat,0.035767337590655784
num__trestbps,0.034843254237053846
cat__sex_Male,0.030759994564627503
cat__dataset_Hungary,0.02890967370768032
cat__thal_normal,0.028134068719728886
cat__sex_Female,0.027297953596507583
cat__thal_reversable defect,0.019719707779490205
num__ca,0.0194541243349959
cat__cp_non-anginal,0.015976929160962456
cat__dataset_Cleveland,0.014473319991415443
cat__slope_Missing,0.011907428404055334
cat__dataset_VA Long Beach,0.011490204188024596
num__slope_missing,0.010078178829319391
cat__slope_upsloping,0.009801568799568694
num__ca_missing,0.009755745347160377
cat__restecg_normal,0.008945172646160168
cat__fbs_False,0.00799840641586875
cat__thal_Missing,0.007998287815844015
cat__fbs_True,0.007109286835160994
num__thal_missing,0.006776171870929452
cat__restecg_st-t abnormality,0.006409367701507265
cat__restecg_lv hypertrophy,0.0055895152739915835
cat__cp_typical angina,0.00528435213779265
cat__thal_fixed defect,0.003171139434336223
cat__slope_downsloping,0.002723763957581524
