Feature,Coefficient,Absolute_Coefficient
cat__dataset_Switzerland,1.534715552980671,1.534715552980671
cat__dataset_Hungary,-0.94865580440557,0.94865580440557
cat__cp_asymptomatic,0.9427356450578446,0.9427356450578446
cat__cp_atypical angina,-0.8368251429727442,0.8368251429727442
num__ca,0.7402370603880335,0.7402370603880335
cat__slope_flat,0.708207301794783,0.708207301794783
cat__sex_Male,0.5978565509914457,0.5978565509914457
num__ca_missing,0.5722891843901708,0.5722891843901708
cat__sex_Female,-0.557118777181898,0.557118777181898
cat__thal_normal,-0.5398596768881445,0.5398596768881445
cat__exang_True,0.468418673969462,0.468418673969462
num__oldpeak,0.4669870767273303,0.4669870767273303
cat__thal_reversable defect,0.44599680006607484,0.44599680006607484
cat__exang_False,-0.42768090015991367,0.42768090015991367
cat__dataset_Cleveland,-0.39642653424509816,0.39642653424509816
cat__slope_downsloping,-0.37424874669244834,0.37424874669244834
cat__slope_upsloping,-0.31045911532346016,0.31045911532346016
num__chol,0.2485024185532052,0.2485024185532052
num__age,0.22506850024368985,0.22506850024368985
cat__restecg_lv hypertrophy,0.15943383196266664,0.15943383196266664
cat__thal_fixed defect,0.15519948698091143,0.15519948698091143
cat__fbs_True,0.15168838942321314,0.15168838942321314
cat__dataset_VA Long Beach,-0.14889544052045406,0.14889544052045406
cat__restecg_normal,-0.1314485542748415,0.1314485542748415
num__trestbps,0.11368324177559433,0.11368324177559433
num__thalch,-0.11117254310820306,0.11117254310820306
cat__fbs_False,-0.11095061561366512,0.11095061561366512
num__thal_missing,-0.08342662429325111,0.08342662429325111
cat__cp_non-anginal,-0.054204423457420166,0.054204423457420166
cat__thal_Missing,-0.020598836349294027,0.020598836349294027
cat__slope_Missing,0.017238334030673652,0.017238334030673652
cat__restecg_st-t abnormality,0.012752496121723063,0.012752496121723063
cat__cp_typical angina,-0.010968304818132553,0.010968304818132553
num__slope_missing,0.008308293127160821,0.008308293127160821
